Team,Avg,Rank,PAT_Made,FG_0_19,FG_20_29,FG_30_39,FG_40_49,FG_50plus,Year
Detroit Lions,8.59,32,43,-,7,9,8,9,2021
Denver Broncos,7.18,31,25,1,4,3,6,7,2021
Los Angeles Chargers,7.00,30,39,-,5,11,9,5,2021
Las Vegas Raiders,6.88,29,39,-,1,5,12,7,2021
Dallas Cowboys,6.76,28,28,-,6,8,7,5,2021
Cleveland Browns,6.53,27,30,-,6,7,8,5,2021
New York Jets,6.29,26,50,-,12,11,11,2,2021
Pittsburgh Steelers,6.12,24,37,-,9,11,11,1,2021
Miami Dolphins,6.12,24,32,-,5,10,8,4,2021
Jacksonville Jaguars,5.94,23,47,-,10,8,12,2,2021
Tennessee Titans,5.82,22,29,-,12,9,7,3,2021
Carolina Panthers,5.76,20,32,-,6,11,11,4,2021
New Orleans Saints,5.76,20,30,-,7,12,8,4,2021
Washington Commanders,5.53,18,43,-,8,8,5,3,2021
New York Giants,5.53,18,42,-,12,12,9,-,2021
Baltimore Ravens,5.18,17,33,-,2,7,5,2,2021
Green Bay Packers,5.06,16,38,-,4,6,5,4,2021
Minnesota Vikings,5.00,15,38,-,5,13,10,6,2021
Seattle Seahawks,4.82,14,28,-,7,10,3,4,2021
Chicago Bears,4.65,13,39,-,7,8,4,7,2021
Houston Texans,4.59,12,44,-,9,13,3,3,2021
Philadelphia Eagles,4.18,11,34,-,7,6,4,3,2021
Los Angeles Rams,4.12,10,32,-,10,5,9,2,2021
Cincinnati Bengals,4.06,7,37,-,10,3,8,2,2021
Arizona Cardinals,4.06,7,31,-,5,5,8,3,2021
Tampa Bay Buccaneers,4.06,7,34,-,14,7,5,1,2021
Kansas City Chiefs,3.88,6,33,-,6,6,5,1,2021
San Francisco 49ers,3.76,5,35,-,5,5,8,2,2021
Buffalo Bills,3.53,4,21,-,6,3,5,2,2021
Atlanta Falcons,3.41,3,38,-,8,9,2,3,2021
New England Patriots,2.76,2,25,-,6,6,9,-,2021
Indianapolis Colts,2.65,1,31,-,6,10,4,2,2021
