Team,Avg,Rank,Comp,Att,Yds,Int,TD,Rush_Att,Rush_Yds,Rush_TD,RZ_Touch,RZ_G2G,Year
Kansas City Chiefs,18.12,32,377,579,4172,14,25,73,384,6,20,11,2021
Los Angeles Chargers,16.73,31,333,525,3686,11,25,56,286,3,14,6,2021
Green Bay Packers,16.61,30,378,600,3946,18,30,76,455,3,17,10,2021
Washington Commanders,16.46,29,372,559,4271,11,34,81,452,5,16,9,2021
Chicago Bears,15.91,28,297,454,3428,8,29,53,183,4,18,8,2021
Minnesota Vikings,15.70,27,400,625,4643,16,29,63,336,1,8,2,2021
Pittsburgh Steelers,15.24,26,332,525,3724,12,23,66,339,3,20,11,2021
Baltimore Ravens,15.20,25,355,546,4256,8,28,36,121,1,4,3,2021
Philadelphia Eagles,14.97,24,387,549,3762,10,25,64,159,3,14,11,2021
Denver Broncos,14.93,23,325,539,3723,12,20,61,253,2,13,6,2021
Atlanta Falcons,14.67,22,367,548,3872,11,30,87,429,4,17,3,2021
Detroit Lions,14.50,21,329,503,4021,11,29,72,261,-,17,8,2021
New York Jets,13.85,20,399,583,4611,7,27,71,298,3,14,7,2021
Las Vegas Raiders,13.84,18,364,554,3574,6,24,65,281,1,12,5,2021
New York Giants,13.84,18,382,570,3877,13,27,54,216,2,15,2,2021
Carolina Panthers,13.79,17,336,514,3543,9,26,70,262,3,10,5,2021
Tampa Bay Buccaneers,13.77,16,443,676,4302,17,26,84,399,3,20,8,2021
Cincinnati Bengals,13.42,15,419,625,4487,13,26,57,252,1,10,5,2021
Jacksonville Jaguars,13.17,14,377,543,4111,7,24,64,331,4,12,7,2021
Cleveland Browns,12.60,13,341,532,3314,13,25,63,178,2,15,4,2021
Dallas Cowboys,12.56,12,328,546,3897,25,22,67,297,3,9,4,2021
Arizona Cardinals,12.50,11,288,446,3145,8,26,56,251,3,14,7,2021
Seattle Seahawks,12.09,10,414,618,4537,11,23,57,234,-,10,4,2021
Houston Texans,11.83,9,363,546,4342,17,27,68,176,5,13,6,2021
Tennessee Titans,11.42,7,395,627,4485,16,24,62,230,5,15,10,2021
San Francisco 49ers,11.42,7,343,499,3572,7,24,63,361,4,13,5,2021
New England Patriots,11.30,6,258,434,2881,17,19,65,252,2,9,3,2021
Los Angeles Rams,10.94,5,361,540,3769,15,14,46,198,4,10,6,2021
New Orleans Saints,10.37,4,369,591,4131,18,20,71,287,5,13,9,2021
Indianapolis Colts,10.30,3,390,596,4203,19,32,72,382,-,7,3,2021
Miami Dolphins,8.35,2,317,517,3612,13,18,58,204,3,14,7,2021
Buffalo Bills,5.53,1,269,481,2790,19,11,71,261,5,13,7,2021
