Team,Avg,Rank,Att,Yds,TD,Rec,Rec_Yds,Rec_TD,RZ_Touch,RZ_G2G,Year
Seattle Seahawks,22.14,32,409,1521,14,121,142,1060,3,90,2021
New York Jets,20.00,31,437,1930,23,103,124,907,5,118,2021
Detroit Lions,19.31,30,407,1840,17,51,64,431,8,82,2021
Atlanta Falcons,18.15,29,388,1592,14,88,114,640,3,82,2021
Los Angeles Chargers,17.81,28,405,1795,16,61,82,425,3,95,2021
Cleveland Browns,17.62,27,331,1448,8,74,94,465,4,58,2021
Las Vegas Raiders,17.59,26,359,1524,16,90,118,537,6,62,2021
Minnesota Vikings,16.91,25,392,1751,12,82,108,587,5,57,2021
Baltimore Ravens,16.86,24,288,1067,9,74,91,695,3,65,2021
Kansas City Chiefs,16.29,23,303,1457,7,104,126,850,2,65,2021
Pittsburgh Steelers,15.91,22,396,2002,12,68,89,562,2,63,2021
Cincinnati Bengals,15.85,21,327,1412,13,108,135,769,3,62,2021
San Francisco 49ers,15.68,20,356,1252,13,82,104,530,2,79,2021
Green Bay Packers,15.64,19,304,1302,10,90,113,563,4,63,2021
Arizona Cardinals,14.82,18,310,1467,5,64,83,504,1,55,2021
Washington Commanders,14.51,17,320,1212,8,73,104,546,9,68,2021
Chicago Bears,14.48,16,384,1698,9,66,84,429,2,65,2021
Tampa Bay Buccaneers,14.43,15,270,1083,7,118,147,785,5,63,2021
Jacksonville Jaguars,14.35,14,411,1666,17,69,101,508,1,87,2021
Buffalo Bills,13.75,13,287,1166,10,56,91,487,2,42,2021
New York Giants,13.28,12,413,1881,13,89,111,715,2,90,2021
Houston Texans,13.01,11,427,2067,18,72,95,511,3,85,2021
New England Patriots,12.76,10,334,1595,6,70,90,638,3,63,2021
Los Angeles Rams,12.71,9,326,1244,9,71,88,467,3,73,2021
Carolina Panthers,12.45,8,387,1593,12,59,79,413,3,68,2021
New Orleans Saints,12.44,7,346,1224,7,76,103,599,3,55,2021
Philadelphia Eagles,11.35,6,354,1475,13,109,131,688,2,69,2021
Dallas Cowboys,11.32,5,282,1204,6,79,111,517,2,46,2021
Denver Broncos,11.07,4,334,1396,7,71,98,672,4,46,2021
Tennessee Titans,10.19,3,288,1089,9,79,107,648,1,70,2021
Miami Dolphins,9.81,2,313,1363,11,64,92,453,2,68,2021
Indianapolis Colts,8.56,1,327,1305,9,77,104,663,3,61,2021
