Favorability_Rank,Team_Abbr,Rushing,Rushing_Rank,YDS/G,PTS/G,Total_Offense_Rank,Scoring_Rank,Position_Favorability
1,SF,398.4,2.0,140.5,28.9,3.0,3.0,40.025000000000006
2,DET,394.8,3.0,135.9,27.1,5.0,5.0,39.45
3,MIA,401.3,1.0,135.8,29.2,6.0,2.0,37.685
4,LAR,359.3,7.0,120.3,23.8,11.0,8.0,32.42
5,CHI,323.2,20.0,141.1,21.2,2.0,18.0,31.884999999999998
6,DAL,371.6,5.0,112.9,29.9,14.0,1.0,31.295
7,JAX,339.5,13.0,96.8,22.2,24.0,13.5,30.994999999999997
8,BUF,374.5,4.0,130.1,26.5,7.0,6.0,29.115000000000002
9,CIN,318.9,22.0,89.8,21.5,31.0,16.0,28.8
10,SEA,322.9,21.0,92.9,21.4,28.0,17.0,28.19
11,KC,351.3,9.0,104.9,21.8,19.0,15.0,28.035
12,BAL,370.4,6.0,156.5,28.4,1.0,4.0,26.317500000000003
13,CLE,335.9,16.0,118.6,23.3,12.0,10.5,23.685000000000002
14,ATL,334.3,17.0,127.0,18.9,9.0,26.0,23.17
15,GB,345.5,11.0,112.1,22.5,15.0,12.0,22.970000000000002
16,NO,337.2,14.0,102.5,23.6,21.0,9.0,22.78
17,LV,289.5,27.0,90.7,19.5,30.0,23.0,22.78
18,PHI,354.4,8.0,128.8,25.5,8.0,7.0,22.740000000000002
19,NE,276.2,30.0,95.7,13.9,26.0,31.5,22.055
20,TB,313.0,23.0,88.8,20.5,32.0,20.0,21.655
21,IND,336.8,15.0,121.1,23.3,10.0,10.5,21.28
22,TEN,289.0,28.0,108.6,17.9,17.0,27.5,20.255000000000003
23,NYG,280.0,29.0,110.2,15.6,16.0,30.0,19.415
24,PIT,304.3,25.0,118.2,17.9,13.0,27.5,18.345
25,MIN,347.8,10.0,91.4,20.2,29.0,22.0,18.105000000000004
26,HOU,342.4,12.0,96.9,22.2,22.5,13.5,16.635000000000005
27,ARI,324.1,19.0,139.1,19.4,4.0,24.5,15.717500000000001
28,CAR,265.3,32.0,104.1,13.9,20.0,31.5,12.84
29,NYJ,268.6,31.0,96.9,15.8,22.5,29.0,12.190000000000001
30,LAC,329.4,18.0,96.6,20.4,25.0,21.0,11.41
31,WAS,312.8,24.0,93.6,19.4,27.0,24.5,10.975000000000001
32,DEN,298.4,26.0,106.5,21.0,18.0,19.0,9.185
