TEAM,Total,Passing,Rushing,Points,GP,YDS,YDS/G,PTS,PTS/G
Kansas City Chiefs,17,7032,413.6,5062,297.8,1970,115.9,496,29.2
Buffalo Bills,16,6361,397.6,4129,258.1,2232,139.5,455,28.4
Philadelphia Eagles,17,6614,389.1,4105,241.5,2509,147.6,477,28.1
Detroit Lions,17,6460,380.0,4281,251.8,2179,128.2,453,26.6
San Francisco 49ers,17,6216,365.6,3856,226.8,2360,138.8,450,26.5
Miami Dolphins,17,6197,364.5,4511,265.4,1686,99.2,397,23.4
Minnesota Vikings,17,6145,361.5,4484,263.8,1661,97.7,424,24.9
Cincinnati Bengals,16,5768,360.5,4240,265.0,1528,95.5,418,26.1
Los Angeles Chargers,17,6108,359.3,4584,269.6,1524,89.6,391,23.0
Jacksonville Jaguars,17,6075,357.4,3959,232.9,2116,124.5,404,23.8
Dallas Cowboys,17,6034,354.9,3736,219.8,2298,135.2,467,27.5
Las Vegas Raiders,17,5993,352.5,3934,231.4,2059,121.1,395,23.2
Seattle Seahawks,17,5976,351.5,3934,231.4,2042,120.1,407,23.9
Cleveland Browns,17,5934,349.1,3444,202.6,2490,146.5,361,21.2
Tampa Bay Buccaneers,17,5894,346.7,4586,269.8,1308,76.9,313,18.4
Baltimore Ravens,17,5760,338.8,3040,178.8,2720,160.0,350,20.6
Green Bay Packers,17,5745,337.9,3632,213.6,2113,124.3,370,21.8
New York Giants,17,5676,333.9,3157,185.7,2519,148.2,365,21.5
New Orleans Saints,17,5674,333.8,3692,217.2,1982,116.6,330,19.4
Washington Commanders,17,5615,330.3,3472,204.2,2143,126.1,321,18.9
Denver Broncos,17,5527,325.1,3592,211.3,1935,113.8,287,16.9
Arizona Cardinals,17,5499,323.5,3626,213.3,1873,110.2,340,20.0
Pittsburgh Steelers,17,5484,322.6,3411,200.6,2073,121.9,308,18.1
Atlanta Falcons,17,5417,318.6,2699,158.8,2718,159.9,365,21.5
New York Jets,17,5409,318.2,3723,219.0,1686,99.2,296,17.4
New England Patriots,17,5348,314.6,3536,208.0,1812,106.6,364,21.4
Indianapolis Colts,17,5298,311.6,3432,201.9,1866,109.8,289,17.0
Chicago Bears,17,5233,307.8,2219,130.5,3014,177.3,326,19.2
Carolina Panthers,17,5206,306.2,2996,176.2,2210,130.0,347,20.4
Tennessee Titans,17,5045,296.8,2914,171.4,2131,125.4,298,17.5
Houston Texans,17,4820,283.5,3344,196.7,1476,86.8,289,17.0
Los Angeles Rams,17,4769,280.5,3108,182.8,1661,97.7,307,18.1
