Rank,Player,Team,PAT_Made,FG_Made_0-19,FG_Made_20-29,FG_Made_30-39,FG_Made_40-49,FG_Made_50+,Fantasy_Points,GP,AVG,TGP,TAVG
1,Brandon Aubrey,DAL,49,-,9,13,4,10,177.00,17,10.41,17,10.41
2,Matt Gay,IND,35,-,9,9,7,8,150.00,17,8.82,17,8.82
3,Cairo Santos,CHI,31,-,9,11,8,7,150.00,17,8.82,17,8.82
4,Jake Elliott,PHI,45,-,9,7,7,7,149.00,17,8.76,17,8.76
5,Justin Tucker,BAL,51,-,10,10,11,1,149.00,17,8.76,17,8.76
6,Harrison Butker,KC,38,-,8,13,7,5,147.00,17,8.65,17,8.65
7,Jason Myers,SEA,33,-,8,11,12,4,146.00,17,8.59,17,8.59
8,Cameron Dicker,LAC,35,-,7,8,9,7,142.00,17,8.35,17,8.35
9,Blake Grupe,NO,40,-,10,6,8,6,142.00,17,8.35,17,8.35
10,Jason Sanders,MIA,58,-,6,7,6,5,140.00,17,8.24,17,8.24
11,Dustin Hopkins,CLE,24,-,8,7,10,8,139.00,15,9.27,17,8.18
12,Brandon McManus,GB,35,-,4,10,11,5,135.00,17,7.94,17,7.94
13,Chase McLaughlin,TB,33,-,8,12,2,7,134.00,17,7.88,17,7.88
14,Evan McPherson,CIN,40,-,5,6,8,7,132.00,17,7.76,17,7.76
15,Greg Zuerlein,NYJ,15,-,8,9,13,5,130.00,14,9.29,17,7.65
16,Tyler Bass,BUF,49,-,4,12,4,4,129.00,17,7.59,17,7.59
17,Younghoe Koo,ATL,27,-,10,10,9,3,129.00,17,7.59,17,7.59
18,Jake Moody,SF,60,-,7,8,4,2,127.00,17,7.47,17,7.47
19,Chris Boswell,PIT,27,-,9,7,7,6,126.00,17,7.41,17,7.41
20,Nick Folk,TEN,28,-,9,9,6,5,125.00,17,7.35,17,7.35
21,Wil Lutz,DEN,29,-,11,12,4,3,125.00,16,7.81,17,7.35
22,Matt Prater,ARI,22,-,6,7,6,9,124.00,16,7.75,17,7.29
23,Anders Carlson,K,34,-,6,14,4,3,121.00,17,7.12,0,0
24,Greg Joseph,NYJ,36,1,7,9,3,4,116.00,17,6.82,17,6.82
25,Daniel Carlson,LV,32,-,10,6,9,1,112.00,16,7.00,17,6.59
