Team,Defense_Rank,Defense_Score,Avg,WR_Rec_Allowed,WR_Targets_Allowed,WR_Yds_Allowed,WR_TD_Allowed,Category
Chicago Bears,1,32,28.95,172,269,2401,13,Shutdown
Tennessee Titans,2,31,29.72,187,289,2177,15,Shutdown
New York Jets,3,30,30.26,183,299,2373,13,Shutdown
Green Bay Packers,4,29,30.44,197,297,2303,15,Shutdown
Miami Dolphins,5,28,30.6,197,297,2309,13,Shutdown
San Francisco 49ers,6,27,30.96,181,296,2157,17,Shutdown
Philadelphia Eagles,7,26,31.01,196,329,2202,17,Shutdown
Cincinnati Bengals,8,25,31.14,184,312,2370,17,Strong
Denver Broncos,9,24,31.52,211,338,2629,11,Strong
Las Vegas Raiders,10,23,31.86,196,308,2414,16,Strong
Washington Commanders,11,22,31.87,190,318,2427,16,Strong
Arizona Cardinals,12,21,32.44,210,307,2547,14,Strong
Pittsburgh Steelers,13,20,32.66,203,323,2635,15,Strong
Los Angeles Rams,14,19,32.68,177,295,2415,20,Strong
Los Angeles Chargers,15,18,32.75,191,298,2506,19,Average
New England Patriots,16,17,32.85,204,320,2494,16,Average
Buffalo Bills,17,16,33.11,210,299,2519,16,Average
Kansas City Chiefs,18,15,33.22,207,319,2359,19,Average
New York Giants,19,14,33.35,202,301,2547,17,Average
Indianapolis Colts,20,13,33.55,197,294,2567,17,Average
Seattle Seahawks,21,12,33.86,207,327,2423,19,Weak
Houston Texans,22,11,33.89,188,334,2569,21,Weak
Carolina Panthers,23,10,34.33,203,309,2517,21,Weak
Cleveland Browns,24,9,35.41,179,289,2623,20,Weak
Dallas Cowboys,25,8,35.94,215,322,2688,19,Weak
New Orleans Saints,26,7,35.97,217,362,2826,16,Weak
Tampa Bay Buccaneers,27,6,36.1,231,351,2659,18,Exploitable
Baltimore Ravens,28,5,36.41,220,355,2827,17,Exploitable
Jacksonville Jaguars,29,4,36.53,213,327,2972,17,Exploitable
Detroit Lions,30,3,37.18,244,405,3147,13,Exploitable
Atlanta Falcons,31,2,37.19,230,329,2588,22,Exploitable
Minnesota Vikings,32,1,40.17,255,402,3115,18,Exploitable
