Team,Avg,Rank,Rush_Att,Rush_Yds,Rush_TD,Rec,Target,Rec_Yds,Rec_TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Atlanta Falcons,30.40,32,13,86,1,213,326,2546,18,36,62,22,2021
Indianapolis Colts,29.59,31,19,165,1,210,336,2499,21,29,46,17,2021
Jacksonville Jaguars,28.14,30,15,126,1,225,311,2701,17,32,36,16,2021
Houston Texans,27.92,29,22,139,1,210,326,2877,16,33,46,26,2021
Tennessee Titans,27.00,28,17,110,-,248,390,3210,20,31,56,29,2021
Chicago Bears,26.79,27,15,92,-,176,270,2448,22,22,38,21,2021
New York Jets,26.62,26,14,110,2,203,315,2654,13,25,45,20,2021
Los Angeles Rams,26.56,25,23,89,3,209,313,2520,8,23,38,16,2021
San Francisco 49ers,26.50,24,10,95,-,201,299,2543,17,27,39,15,2021
New England Patriots,26.06,23,6,54,-,148,254,1858,12,21,38,10,2021
Arizona Cardinals,25.93,22,7,41,1,181,283,2228,25,31,48,21,2021
New York Giants,25.28,21,8,40,-,205,314,2361,18,32,51,20,2021
Baltimore Ravens,25.04,20,8,77,-,183,300,2585,19,20,32,13,2021
Kansas City Chiefs,24.64,19,6,51,1,195,319,2493,18,27,51,17,2021
Green Bay Packers,24.58,18,13,89,-,199,344,2559,19,24,41,15,2021
Minnesota Vikings,23.81,17,19,135,2,251,385,3280,19,39,62,22,2021
Carolina Panthers,23.42,16,9,71,1,197,288,2328,17,25,33,11,2021
Dallas Cowboys,23.40,14,14,99,-,174,309,2533,14,18,35,13,2021
Cincinnati Bengals,23.40,14,21,77,1,216,329,2646,15,18,31,15,2021
New Orleans Saints,22.84,13,7,69,-,218,345,2811,14,20,31,8,2021
Detroit Lions,22.79,12,11,94,1,192,297,2519,15,31,44,17,2021
Tampa Bay Buccaneers,22.53,11,11,87,1,232,378,2687,14,28,46,14,2021
Miami Dolphins,21.88,10,6,59,1,180,302,2279,10,19,32,10,2021
Los Angeles Chargers,20.64,9,11,40,-,187,289,2240,10,21,34,16,2021
Seattle Seahawks,20.62,8,11,53,1,207,342,2553,10,19,38,21,2021
Cleveland Browns,20.31,7,18,115,-,184,308,2138,14,33,45,19,2021
Pittsburgh Steelers,20.03,6,10,35,1,187,313,2401,17,21,33,16,2021
Las Vegas Raiders,18.33,5,13,44,1,192,296,2139,9,15,19,6,2021
Washington Commanders,17.86,4,12,32,-,211,316,2748,19,31,51,12,2021
Buffalo Bills,17.23,3,9,94,-,166,290,1773,6,17,31,9,2021
Denver Broncos,16.96,2,7,27,-,189,325,2422,14,18,34,14,2021
Philadelphia Eagles,15.36,1,15,65,-,177,269,2117,10,22,42,19,2021
